file_project,total_downloads
pydevd,6595377
patsy,6584398
grpc-google-iam-v1,6573707
flask-sqlalchemy,6531147
python-jose,6512590
pysocks,6483799
cssselect,6470843
constantly,6454843
marshmallow,6446835
ccxt,6445106
s3fs,6437829
argcomplete,6351224
automat,6325620
azure-storage,6307757
theano,6305815
capstone,6274966
bs4,6249038
filelock,6219810
pager,6193883
hyperlink,6179139
wtforms,6139930
parsedatetime,6122276
text-unidecode,6061972
cookiejar,6021307
pipenv,5999279
fuzzywuzzy,5995986
humanfriendly,5909439
oauth,5902202
apipkg,5860335
blinker,5854027
autopep8,5826823
seaborn,5758750
snowflake-connector-python,5683278
cheetah,5680209
newrelic,5650163
applicationinsights,5631912
seqlogo,5616014
flask-wtf,5526389
execnet,5495990
configargparse,5467450
django-extensions,5466967
grpcio-tools,5448353
pathspec,5431603
cherrypy,5409678
mysql-python,5406528
supervisor,5376791
slackclient,5369791
azure-mgmt-resource,5356938
cloudpickle,5347701
service-identity,5326202
fasteners,5315995
joblib,5260346
azure-storage-nspkg,5207848
django-filter,5196803
azure-mgmt-storage,5142718
gspread,5122403
pika,5113922
soupsieve,5113810
google-cloud-bigtable,5086517
package,5082253
azure-mgmt-nspkg,5038785
pydot,5031815
meld3,5018780
django-cors-headers,4990696
pytest-xdist,4972363
codecov,4951182
secretstorage,4917355
gym,4915624
freezegun,4877462
cheroot,4873870
tenacity,4870744
google-cloud-vision,4864719
sphinx-rtd-theme,4863760
responses,4814166
graphviz,4796925
pyrfc3339,4796116
watchdog,4790394
tempora,4760949
geopy,4759189
python-mimeparse,4747343
portend,4711835
docker-py,4710057
flask-restful,4703337
kazoo,4682751
passlib,4657663
django-storages,4642750
reportlab,4630371
pyarrow,4618259
bottle,4603886
pytest-mock,4543195
maxminddb,4540527
kubernetes,4538644
zope-event,4508608
gensim,4507396
google-cloud-monitoring,4502261
argh,4501537
zope-component,4483798
voluptuous,4468935
factory-boy,4448090
jaraco-functools,4420936
azure-mgmt-containerregistry,4411732
pathlib,4407128
user-agents,4402216
s3cmd,4342662
azure-mgmt-authorization,4339894
azure-mgmt-compute,4319546
azure-mgmt-network,4291865
django-debug-toolbar,4272398
tldextract,4258809
azure-datalake-store,4254317
olefile,4252603
python-levenshtein,4235688
pyspark,4228915
azure-mgmt-keyvault,4211605
gapic-google-cloud-datastore-v1,4205267
zc-lockfile,4202878
backoff,4197131
munch,4190161
cookies,4190109
josepy,4188638
google-cloud-spanner,4185269
deepdiff,4170775
acme,4164150
pyaml,4136207
repoze-lru,4135832
google-cloud,4126060
pytest-forked,4125134
python-slugify,4120088
geoip2,4088013
requests-file,4076205
python-augeas,4074566
certbot,4073067
fabric,4063637
avro,4049666
google-cloud-language,4001056
pathtools,3995710
anyjson,3995352
waitress,3947542
xlwt,3927517
jws,3923193
requests-mock,3920678
